GENERO,EDAD,NIV_EDUC,D_Marzo,D_Abril,D_Junio,D_Julio,D_Septiembre,M_MOROSO,MONTO,SEGURO,FUGA,DIF_SEPT_AGOS,Recency,Frequency,DEUDA_PROM,CIUDAD_AGRUP,CAS,SEP,SOL,VIU
0.0,0.25,0.0,0.13833756900522207,0.1407093468987727,0.02631912826856158,0.8584070796460177,0.007390287279893612,0.3333333333333333,0.4266666666666667,0.0,0,0.23849042420744251,0.0,0.7142857142857142,0.1247847575647616,1.0,1,0,0,0
0.0,0.15217391304347827,0.5,0.0,0.012930135633770986,0.0,0.003575578796817735,0.0,0.3333333333333333,0.1866666666666667,0.0,0,0.2322989620491894,0.2857142857142857,0.2857142857142857,0.0033653981330650532,1.0,1,0,0,0
1.0,0.2717391304347826,1.0,0.023506155160606803,0.00019197406475876595,0.0,0.05336551354250469,0.0,0.3333333333333333,0.1866666666666667,0.0,1,0.2322989620491894,0.2857142857142857,0.42857142857142855,0.010601870343040753,1.0,1,0,0,0
1.0,0.21739130434782605,1.0,0.0,0.036945090322432726,0.006766010429466762,0.018324841333690892,0.0022230945476102736,0.3333333333333333,0.5733333333333334,0.0,1,0.23280568876241228,0.0,0.7142857142857142,0.01627416942146374,1.0,1,0,0,0
0.0,0.17391304347826086,0.5,0.0,0.13827245905493443,0.004591072514472286,0.0,0.0,0.0,0.37333333333333335,0.0,0,0.2322989620491894,0.42857142857142855,0.2857142857142857,0.040452939476321746,1.0,0,0,0,1
1.0,0.18478260869565216,0.0,0.0,0.0,0.0,0.01617949405560025,0.0,0.3333333333333333,0.1866666666666667,0.0,1,0.2322989620491894,0.2857142857142857,0.14285714285714285,8.567569581208678e-06,1.0,1,0,0,0
1.0,0.2391304347826087,1.0,0.0,0.036029073789735445,0.02441073280176046,0.02914096719406454,0.024009421114190955,1.0,0.4666666666666667,1.0,1,0.25241366349990435,0.0,0.5714285714285714,0.03351410747367555,1.0,1,0,0,0
1.0,0.3369565217391304,1.0,0.0,0.0011401985685103577,0.00013588818631530362,0.010637346920532762,0.0005527694550814734,0.3333333333333333,0.5733333333333334,0.0,1,0.23276206328379045,0.0,0.5714285714285714,0.0004414901739443831,1.0,1,0,0,0
0.0,0.19565217391304346,0.0,0.0,0.007650757869935843,0.003998524421006801,0.038795029945472424,0.00020027878807299762,0.3333333333333333,0.17333333333333334,1.0,0,0.2324667523515811,0.0,0.5714285714285714,0.00591858120290381,1.0,0,0,1,0
0.0,0.3369565217391304,0.5,0.0,0.05473844761946701,0.0,0.05229283990345937,0.0,0.3333333333333333,0.026666666666666672,1.0,0,0.2322989620491894,0.2857142857142857,0.2857142857142857,0.014266754734339549,1.0,0,0,1,0
0.0,0.26086956521739124,0.0,0.0,0.0,0.0,0.0008045052292839903,0.0,0.3333333333333333,0.25333333333333335,0.0,1,0.2322989620491894,0.2857142857142857,0.14285714285714285,4.260117471319233e-07,0.0,1,0,0,0
1.0,0.30434782608695654,0.0,0.0270325277820921,0.02452518717926229,0.0028990610533408626,0.0918923750782158,0.03660295130822105,0.3333333333333333,0.08,0.0,1,0.22817803222244967,0.0,0.8571428571428571,0.02228562118524231,1.0,1,0,0,0
